OBJECTID,Name,Area_Code,Work_ID,zone_code,Gov,Address,Shape_Leng,حالة الحصر,المباني المنجزة,إجمالي المباني,عدد الوحدات,نسبة الإنجاز %,عدد الفرق,عدد المهندسين,آخر تحديث بواسطة,Shape_Length,Shape_Area
1,الشمال-عباد الرحمن,NJA0005,INDAS_N001,FNJA0005_E002,الشمال,المنطقة ارض الشنطي الواقعة بين دوار الصاروخ ومفترق الامن العام ومفترق برج الاندلس,1559.33203164,تم الانتهاء,154.0,173.0,410,89.0,1.0,,جنين  ريان,1559.3320316418872,135026.2558371087
2,غزة-الشيخ رضوان,GGA0009,INDAS_G002,FGGA0009_E002,غزة,المنطقة بين الشارع الاول والتاني ويمتد من مفترق الشيخ رضوان مع الجلاء وصولا لشارع النصر بين مفترق بهلول ومفترق النادي الاهلي,1605.60973428,تم الانتهاء,160.0,165.0,607,97.0,,,سامر وهبة,1605.6097342757223,129316.54606122956
3,غزة-الرمال الشمالي-مربع فلسطين,GGA0008,INDAS_G003,FGGA0008_E009,غزة,المنطقة بين شارع الجلاء مفترق الغفري الى محطة البربري وبين شارع النصر من مسجد الحبيب محمد الى محلات البسمة,1922.72342571,تم الانتهاء,222.0,241.0,664,92.0,,,سامر وهبة,1922.72342570607,211028.06305319216
4,الوسطى--النصيرات-أرض المفتي,MNU0002,INDAS_M001,FMNU0002_E002,الوسطى,منطقة مربع المفتي والمخيم الجديد وارض ابو مهادي,1741.98643579,قيد الحصر,146.0,245.0,399,60.0,1.0,2.0,فاطمة جبر,1741.98643578949,129559.98100523591
5,دير البلح-قصر أبو سليم,MDB0003,INDAS_M013,FMDB0003_E001,الوسطى,من شارع الحكر من جامع الفرقان الى ابو هولي,3792.85602388,تم الانتهاء,279.0,279.0,237,100.0,,,فاطمة جبر,3792.8560238803043,660940.2799637344
6,خانيونس-حي الأمل,KKY0006,INDAS_K001,FKKY0006_E003,خانيونس,منطقة العرايشية-جنوب بركة المشروع  وفي الشرق من الاتحدا النسائي الى مسجد حسن البنا,1183.36905858,قيد الحصر,59.0,165.0,341,36.0,1.0,2.0,أفنان  أبو جزر,1183.3690585801855,75936.71433188698
7,خانيونس-البلد,KKY0006,INDAS_K002,FKKY0006_E004,خانيونس,حانيونس البلد المنطقة الواقعة جنوب شارع البحر وشرق منتزة البلدية,1272.74449011,قيد الحصر,155.0,244.0,591,64.0,,,,1272.7444901069632,91480.30453219272
8,غزة-مدينة الزهراء,GZA0004,INDAS_G006,FGZA0004_E002,غزة,المنطقة بين قصر العدل ومجمع السلامة الطبي  الى شارع الرشيد,7370.42712075,مناطق حصر جديدة,,246.0,213,,,,,7370.4271207521715,2954041.8009745413
9,غزة-تل الهوى-المستشفى الأردني,GGA0007,INDAS_G005,FGGA0007_E003,غزة,المنطقة بين شارع الصناعة مطعم الأصيل الى شارع المغربي  وصولا الى برشلونة,2006.2531396,تم الانتهاء,169.0,176.0,471,96.0,,,سامر وهبة,2006.2531395991891,169534.68129701944
10,غزة-الرمال الجنوبي-ابو الكاس,GGA0006,INDAS_G004,FGGA0006_E002,غزة,المنطقة بين بداية شارع الشهداء  الى (اصدقاء المريض) وشارع جمال عبد الناصر من مفترق الطيران الى مفترق الجامعة الاسلامية,1137.98942739,تم الانتهاء,75.0,76.0,309,99.0,,,سامر وهبة,1137.9894273863247,83595.0504602164
11,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E006,غزة,المنطقة محيط مجمع الشفاء,1173.90045965,تم الانتهاء,,,11,,,,,1173.9004596517223,78132.91418857183
12,غزة-مربع ملعب فلسطين ومربع برج الشوا والحصري,GGA0008,INDAS_G026,FGGA0008_E011,غزة, ,2462.8137675,قيد الحصر,31.0,245.0,1263,13.0,2.0,5.0,سناء ريان,2462.813767504362,304666.77843001846
13,مربع أبراج الكرامة ومربع مسجد عيسى مراد,NJA0005,INDAS_N004,FNJA0005_E007,الشمال, ,1756.65048402,قيد الحصر,,,406,,1.0,2.0,جنين  ريان,1756.6504840231023,188125.18997354532
14,الشمال-الكرامة,NJA0005,INDAS_N002,FNJA0005_E008,الشمال,مربع ليالينا ومربع مبنى السفينة,3430.97378724,مناطق حصر جديدة,7.0,246.0,516,,,,,3430.9737872443015,638726.9868161514
15,غزة-مربع مسجد الكنز,GGA0008,INDAS_G025,FGGA0008_E012,غزة, ,1809.12636834,مناطق حصر جديدة,,167.0,782,,,,,1809.1263683442046,203366.73030816446
16,الشمال- مربع الصفطاوي,NJA0005,INDAS_N006,FNJA0005_E009,الشمال, ,1089.52548756,قيد الحصر,5.0,30.0,142,,1.0,2.0,جنين  ريان,1089.5254875619125,64529.782298201215
17,غزة-مربع الميناء,GGA0008,INDAS_G022,FGGA0008_E013,غزة, ,1958.5637797,مناطق حصر جديدة,,207.0,847,,,,,1958.5637797017537,145144.59633120574
18,الشمال-عباد الرحمن-مربع مدرسة أسامة بن زيد,NJA0005,INDAS_N005,FNJA0005_E010,الشمال, ,1753.53749387,مناطق حصر جديدة,1.0,149.0,313,,,,,1753.5374938659795,105432.40691559427
19,مربع مدرسة عوني الحرثاني و مصنع أبو حمرة,NJA0005,INDAS_N003,FNJA0005_E011,الشمال, ,2480.31638633,مناطق حصر جديدة,10.0,122.0,351,,,,,2480.3163863304057,229708.907490295
20,غزة-المنطقة الواقعة بين مربع مسجد الشمعة ومربع كشكو,GGA0002,INDAS_G039,FGGA0002_E001,غزة, ,2359.68129225,مناطق حصر جديدة,98.0,319.0,785,,,,,2359.681292248292,192216.39915828375
21,غزة-مربع البرهام,GGA0002,INDAS_G038,FGGA0002_E002,غزة, ,1803.37275745,مناطق حصر جديدة,98.0,239.0,517,,,,,1803.372757447546,193489.88122679293
22,غزة-مربع مدرسة موسى بن نصير,GGA0005,INDAS_G050,FGGA0005_E001,غزة, ,1553.4752904,مناطق حصر جديدة,75.0,176.0,466,,,,,1553.4752903965682,111690.77155762991
23,غزة-مربع عايدية ومربع كرم مصلحة,GGA0008,INDAS_G019,FGGA0008_E014,غزة, ,2743.80796124,مناطق حصر جديدة,103.0,254.0,647,,,,,2743.807961235575,233474.9087851862
