OBJECTID,Name,Area_Code,Work_ID,zone_code,Gov,Address,Shape_Leng,حالة الحصر,المباني المنجزة,إجمالي المباني,عدد الوحدات,نسبة الإنجاز %,عدد الفرق,عدد المهندسين,آخر تحديث بواسطة,Shape_Length,Shape_Area
1,الشمال-عباد الرحمن,NJA0005,INDAS_N001,FNJA0005_E002,الشمال,المنطقة ارض الشنطي الواقعة بين دوار الصاروخ ومفترق الامن العام ومفترق برج الاندلس,1559.332032,تم الانتهاء,154,173,800,89,1,,جنين  ريان,1559.332032,135026.2558
2,غزة-الشيخ رضوان,GGA0009,INDAS_G002,FGGA0009_E002,غزة,المنطقة بين الشارع الاول والتاني ويمتد من مفترق الشيخ رضوان مع الجلاء وصولا لشارع النصر بين مفترق بهلول ومفترق النادي الاهلي,1605.609734,تم الانتهاء,160,178,1383,97,,,سامر وهبة,1605.609734,129316.5461
3,غزة-الرمال الشمالي-مربع فلسطين,GGA0008,INDAS_G003,FGGA0008_E009,غزة,المنطقة بين شارع الجلاء مفترق الغفري الى محطة البربري وبين شارع النصر من مسجد الحبيب محمد الى محلات البسمة,1922.723426,تم الانتهاء,222,254,664,92,,,سامر وهبة,1922.723426,211028.0631
5,دير البلح-قصر أبو سليم,MDB0003,INDAS_M013,FMDB0003_E001,الوسطى,من شارع الحكر من جامع الفرقان الى ابو هولي,3792.856024,تم الانتهاء,279,279,446,100,,,فاطمة جبر,3792.856024,660940.28
9,غزة-تل الهوى-المستشفى الأردني,GGA0007,INDAS_G005,FGGA0007_E003,غزة,المنطقة بين شارع الصناعة مطعم الأصيل الى شارع المغربي  وصولا الى برشلونة,2006.25314,تم الانتهاء,169,176,822,96,,,سامر وهبة,2006.25314,169534.6813
10,غزة-الرمال الجنوبي-ابو الكاس,GGA0006,INDAS_G004,FGGA0006_E002,غزة,المنطقة بين بداية شارع الشهداء  الى (اصدقاء المريض) وشارع جمال عبد الناصر من مفترق الطيران الى مفترق الجامعة الاسلامية,1137.989427,تم الانتهاء,75,76,461,99,,,سامر وهبة,1137.989427,83595.05046
11,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E006,غزة,المنطقة محيط مجمع الشفاء,1173.90046,تم الانتهاء,,,11,,,,,1173.90046,78132.91419
53,غزة-الشهداء,GGA0008,INDAS_G024,FGGA0008_E015,غزة, ,2226.725095,تم الانتهاء,128,134,518,90,,,سامر وهبة,2226.725095,299553.1233
105,الشمال- مربع الصفطاوي,NJA0005,INDAS_N006,FNJA0005_E016,الشمال, ,1033.583629,تم الانتهاء,39,46,225,85,1,,جنين  ريان,1033.583629,62276.46355
107,الشمال- مربع الصفطاوي,NJA0005,INDAS_N006,FNJA0005_E018,الشمال, ,1064.68781,تم الانتهاء,27,29,133,93,,,جنين  ريان,1064.68781,62506.68158
110,الشمال-عباد الرحمن,NJA0005,INDAS_N001,FNJA0005_E006,الشمال,المنطقة ارض الشنطي الواقعة بين دوار الصاروخ ومفترق الامن العام ومفترق برج الاندلس,1981.127332,تم الانتهاء,93,96,442,97,1,,جنين  ريان,1981.127332,196271.2804
112,الشمال-عباد الرحمن,NJA0005,INDAS_N001,FNJA0005_E005,الشمال,المنطقة ارض الشنطي الواقعة بين دوار الصاروخ ومفترق الامن العام ومفترق برج الاندلس,1510.013129,تم الانتهاء,147,147,914,100,,,جنين  ريان,1510.013129,123341.4346
113,الشمال-عباد الرحمن,NJA0005,INDAS_N001,FNJA0005_E003,الشمال,المنطقة ارض الشنطي الواقعة بين دوار الصاروخ ومفترق الامن العام ومفترق برج الاندلس,1263.721085,تم الانتهاء,133,133,838,100,,,جنين  ريان,1263.721085,87667.71297
115,غزة-الشيخ رضوان,GGA0009,INDAS_G002,FGGA0009_E001,غزة,المنطقة بين الشارع الاول والتاني ويمتد من مفترق الشيخ رضوان مع الجلاء وصولا لشارع النصر بين مفترق بهلول ومفترق النادي الاهلي,1412.411355,تم الانتهاء,161,179,1242,92,0,,سامر وهبة,1412.411354,96848.97102
116,غزة-الشيخ رضوان,GGA0009,INDAS_G002,FGGA0009_E003,غزة,المنطقة بين الشارع الاول والتاني ويمتد من مفترق الشيخ رضوان مع الجلاء وصولا لشارع النصر بين مفترق بهلول ومفترق النادي الاهلي,1247.211615,تم الانتهاء,162,171,1197,95,,,سامر وهبة,1247.211615,81463.38654
137,غزة-الرمال الشمالي-مربع فلسطين,GGA0008,INDAS_G003,FGGA0008_E007,غزة,المنطقة بين شارع الجلاء مفترق الغفري الى محطة البربري وبين شارع النصر من مسجد الحبيب محمد الى محلات البسمة,1711.882438,تم الانتهاء,209,224,1138,93,,,سامر وهبة,1711.882438,173286.5106
166,غزة-تل الهوى-المستشفى الأردني,GGA0007,INDAS_G005,FGGA0007_E002,غزة,المنطقة بين شارع الصناعة مطعم الأصيل الى شارع المغربي  وصولا الى برشلونة,2111.887207,تم الانتهاء,160,168,736,95,1,,سامر وهبة,2111.887207,166045.1182
169,غزة-مربع مسجد السلام وأرض الريس,GGA0006,INDAS_G034,FGGA0006_E020,غزة, ,1469.100183,تم الانتهاء,103,107,576,96,,,سامر وهبة,1469.100183,111807.2346
192,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E001,غزة,المنطقة محيط مجمع الشفاء,1263.683675,تم الانتهاء,141,141,699,100,,,سامر وهبة,1263.683675,88911.80353
193,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E004,غزة,المنطقة محيط مجمع الشفاء,1459.283128,تم الانتهاء,69,71,393,97,,,سامر وهبة,1459.283128,117838.7043
194,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E005,غزة,المنطقة محيط مجمع الشفاء,845.4398042,تم الانتهاء,76,76,637,99.98,,,سامر وهبة,845.4398042,44990.79538
195,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E003,غزة,المنطقة محيط مجمع الشفاء,1450.424088,تم الانتهاء,82,82,485,100,,,سامر وهبة,1450.424088,109178.5966
196,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E002,غزة,المنطقة محيط مجمع الشفاء,1136.607748,تم الانتهاء,105,105,608,100,,,سامر وهبة,1136.607748,74789.01249
197,غزة-الرمال الجنوبي-ابو الكاس,GGA0006,INDAS_G004,FGGA0006_E004,غزة,المنطقة بين بداية شارع الشهداء  الى (اصدقاء المريض) وشارع جمال عبد الناصر من مفترق الطيران الى مفترق الجامعة الاسلامية,1187.669286,تم الانتهاء,89,89,613,100,,,سامر وهبة,1187.669286,78603.51389
198,غزة-الرمال الجنوبي-ابو الكاس,GGA0006,INDAS_G004,FGGA0006_E001,غزة,المنطقة بين بداية شارع الشهداء  الى (اصدقاء المريض) وشارع جمال عبد الناصر من مفترق الطيران الى مفترق الجامعة الاسلامية,1140.218559,تم الانتهاء,77,85,383,91,,,سامر وهبة,1140.218559,73784.5101
199,غزة-الرمال الجنوبي-ابو الكاس,GGA0006,INDAS_G004,FGGA0006_E003,غزة,المنطقة بين بداية شارع الشهداء  الى (اصدقاء المريض) وشارع جمال عبد الناصر من مفترق الطيران الى مفترق الجامعة الاسلامية,1251.676156,تم الانتهاء,84,85,500,99,,,سامر وهبة,1251.676156,77183.15307
216,الوسطى--النصيرات-أرض المفتي,MNU0002,INDAS_M001,FMNU0002_E004,الوسطى,منطقة مربع المفتي والمخيم الجديد وارض ابو مهادي,1734.998315,تم الانتهاء,272,273,782,100,,,فاطمة جبر,1734.998315,137427.3766
227,دير البلح-قصر أبو سليم,MDB0003,INDAS_M013,FMDB0003_E002,الوسطى,من شارع الحكر من جامع الفرقان الى ابو هولي,3111.58591,تم الانتهاء,252,275,519,92,,,فاطمة جبر,3111.58591,413786.216
248,خانيونس-حي الأمل,KKY0006,INDAS_K001,FKKY0006_E001,خانيونس,منطقة العرايشية-جنوب بركة المشروع  وفي الشرق من الاتحدا النسائي الى مسجد حسن البنا,1562.390849,تم الانتهاء,180,184,616,98,,,أفنان  أبو جزر,1562.390849,89708.05033
4,الوسطى--النصيرات-أرض المفتي,MNU0002,INDAS_M001,FMNU0002_E002,الوسطى,منطقة مربع المفتي والمخيم الجديد وارض ابو مهادي,1741.986436,قيد الحصر,146,245,399,60,1,2,فاطمة جبر,1741.986436,129559.981
6,خانيونس-حي الأمل,KKY0006,INDAS_K001,FKKY0006_E003,خانيونس,منطقة العرايشية-جنوب بركة المشروع  وفي الشرق من الاتحدا النسائي الى مسجد حسن البنا,1183.369059,قيد الحصر,59,165,341,36,1,2,أفنان  أبو جزر,1183.369059,75936.71433
7,خانيونس-البلد,KKY0006,INDAS_K002,FKKY0006_E004,خانيونس,حانيونس البلد المنطقة الواقعة جنوب شارع البحر وشرق منتزة البلدية,1272.74449,قيد الحصر,155,244,591,64,,,,1272.74449,91480.30453
12,غزة-مربع ملعب فلسطين ومربع برج الشوا والحصري,GGA0008,INDAS_G026,FGGA0008_E011,غزة, ,2462.813768,قيد الحصر,31,245,1263,13,2,5,سناء ريان,2462.813768,304666.7784
13,مربع أبراج الكرامة ومربع مسجد عيسى مراد,NJA0005,INDAS_N004,FNJA0005_E007,الشمال, ,1756.650484,قيد الحصر,,,406,,1,2,جنين  ريان,1756.650484,188125.19
16,الشمال- مربع الصفطاوي,NJA0005,INDAS_N006,FNJA0005_E009,الشمال, ,1089.525488,قيد الحصر,5,30,142,,1,2,جنين  ريان,1089.525488,64529.7823
36,غزة-مربع أبو علبة ومسجد اليرموك,GGA0005,INDAS_G052,FGGA0005_E005,غزة, ,1446.496577,قيد الحصر,26,233,639,11,1,2,سامر وهبة,1446.496577,125749.545
37,غزة-مربع مقبرة الشيخ رضوان وبرج الايطالي,GGA0009,INDAS_G053,FGGA0009_E004,غزة, ,2220.290846,قيد الحصر,36,295,691,12,1,3,سامر وهبة,2220.290846,307261.2187
38,غزة-مربع الجامعات ومربع الاذاعة والتلفزيون القديم,GGA0007,INDAS_G033,FGGA0007_E004,غزة, ,2324.24935,قيد الحصر,74,113,560,65,1,2,سناء ريان,2324.24935,318895.3485
41,غزة-مربع الكتيبة,GGA0007,INDAS_G032,FGGA0007_E005,غزة, ,2475.6888,قيد الحصر,62,109,470,57,1,3,سناء ريان,2475.6888,305389.7927
42,غزة-المنطقة التي تجمع بين مربع الجسر -عيادة وكالة الشيخ رضوان - مربع القسطل-مربع مسجد حطين,GGA0009,INDAS_G013,FGGA0009_E006,غزة, ,2011.245914,قيد الحصر,45,345,1108,13,,,,2011.245914,241411.9032
44,غزة-مربع مسجد الفلاح,GGA0007,INDAS_G041,FGGA0007_E007,غزة, ,2000.040233,قيد الحصر,74,198,662,37,1,2,سناء ريان,2000.040233,219163.9094
52,غزة-مربع الخدمة العامة والقصاصين,GGA0006,INDAS_G028,FGGA0006_E008,غزة, ,2041.685354,قيد الحصر,95,268,843,35,1,3,سناء ريان,2041.685354,242679.1817
56,الوسطى-النصيرات-مخيم النصيرات,MNU0002,INDAS_M005,FMNU0002_E006,الوسطى, ,3402.933741,قيد الحصر,73,471,948,15,1,2,فاطمة جبر,3402.933741,389483.342
59,الوسطى-النصيرات-المنطقة الواقعة من أرض المصنع الى أبراج عين جالوت,MNU0002,INDAS_M009,FMNU0002_E009,الوسطى, ,2595.012998,قيد الحصر,63,296,612,21,1,,فاطمة جبر,2595.012998,380998.9455
61,الوسطى-النصيرات-مربع أرض أبو شمالة ومركز رعاية النصيرات,MNU0002,INDAS_M003,FMNU0002_E011,الوسطى, ,3021.437426,قيد الحصر,,,117,,,,فاطمة جبر,3021.437426,589550.9369
72,خانيونس-المنطقة الواقعة بين مربع حارة المجايدة وحسني ومربع السيقلي والقسام,KKY0006,INDAS_K019,FKKY0006_E009,خانيونس, ,2264.376831,قيد الحصر,52,381,986,14,,,,2264.376831,187620.4438
78,خانيونس-مربع المشروع الهولندي والاماراتي1,KKY0007,INDAS_K010,FKKY0007_E002,خانيونس, ,1487.134562,قيد الحصر,,181,347,,1,2,أفنان  أبو جزر,1487.134562,120993.9617
79,خانيونس-المنطقة الواقعة بين كلية تدريب خانيونس والحي الياباني وحس البراق والاماراتي2,KKY0007,INDAS_K009,FKKY0007_E003,خانيونس, ,3047.615906,قيد الحصر,,,637,,1,2,أفنان  أبو جزر,3047.615906,353572.1728
